degree,section,course_code,course_name
"Bachelor of Business (Economics, Finance and Trade)",Electives,ECON3008,UO International Economics
"Bachelor of Business (Economics, Finance and Trade)",Electives,IBUS3008,UO International Business Environments
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,SOCI3014,UO Critical Approaches to Online Learning
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,ECON1010,UO Principles of Economics
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,ACCT1005,UO Accounting for Business
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,MARK1013,UO Marketing Principles: Trading and Exchange
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,BUSI1018,UO Business and Society
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,LAWS1018,UO Business Law
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,MATH1028,UO Quantitative Methods for Business
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,BUSI1030,UO Career Development in Business
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,ECON1011,UO Macroeconomics
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,BUSI2021,UO Entrepreneurship for Social and Market Impact
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,ECON2007,UO Economic Analysis of Business Decisions
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,ECON2009,UO Growth Development and the Macroeconomy
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,BUSI2019,UO Management and Organisation
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,IBUS3008,UO International Business Environments
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,ECON2008,UO Empirical Business Analysis
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,BAFI2025,UO Business Finance
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,BAFI3010,UO Portfolio and Fund Management
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,-,Elective
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,-,Elective
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,-,Elective
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,ECON3007,UO Economics of Public Policy
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,ECON3008,UO International Economics
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,BAFI3013,UO International Currency and Banking Markets
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,BUSI3034,UO Strategic Financial Analysis
"Bachelor of Business (Economics, Finance and Trade)",Program electives,BUSI1018,UO Business and Society
"Bachelor of Business (Economics, Finance and Trade)",Program electives,ACCT2004,UO Management Accounting
"Bachelor of Business (Economics, Finance and Trade)",Program electives,BAFI2016,UO Introduction to Financial Planning
"Bachelor of Business (Economics, Finance and Trade)",Program electives,BUSI2017,UO Organisational Behaviour
"Bachelor of Business (Economics, Finance and Trade)",Program electives,BUSI3030,UO International Management Ethics and Values
"Bachelor of Business (Economics, Finance and Trade)",Program electives,BUSI3035,UO Organisational Entrepreneurship
"Bachelor of Business (Economics, Finance and Trade)",Program electives,BUSI3036,UO Business Internship 30 Days
"Bachelor of Business (Economics, Finance and Trade)",Program electives,BUSI3037,UO Business Practicum
"Bachelor of Business (Economics, Finance and Trade)",Program electives,BUSI3040,UO Solving Business Challenges
"Bachelor of Business (Economics, Finance and Trade)",Program electives,BUSI3041,UO Virtual Industry Internship
"Bachelor of Business (Economics, Finance and Trade)",Program electives,LAWS2012,UO Companies and Partnership Law
"Bachelor of Business (Economics, Finance and Trade)",Program electives,SOCI3014,UO Critical Approaches to Online Learning
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,SOCI3014,UO Critical Approaches to Online Learning
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,ECON1010,UO Principles of Economics
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,ACCT1005,UO Accounting for Business
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,MARK1013,UO Marketing Principles: Trading and Exchange
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,BUSI1018,UO Business and Society
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,LAWS1018,UO Business Law
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,MATH1028,UO Quantitative Methods for Business
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,BUSI1030,UO Career Development in Business
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,ECON1011,UO Macroeconomics
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,BUSI2021,UO Entrepreneurship for Social and Market Impact
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,ECON2007,UO Economic Analysis of Business Decisions
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,ECON2009,UO Growth Development and the Macroeconomy
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,BUSI2019,UO Management and Organisation
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,IBUS3008,UO International Business Environments
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,ECON2008,UO Empirical Business Analysis
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,BAFI2025,UO Business Finance
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,BAFI3010,UO Portfolio and Fund Management
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,-,Elective
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,-,Elective
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,-,Elective
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,ECON3007,UO Economics of Public Policy
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,ECON3008,UO International Economics
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,BAFI3013,UO International Currency and Banking Markets
"Bachelor of Business (Economics, Finance and Trade)",Standard study plans,BUSI3034,UO Strategic Financial Analysis
Bachelor of Business (Financial Planning),Core courses,ACCT1005,UO Accounting for Business
Bachelor of Business (Financial Planning),Core courses,BAFI1003,UO Financial Markets and Institutions
Bachelor of Business (Financial Planning),Core courses,BAFI1004,UO Personal Finance
Bachelor of Business (Financial Planning),Core courses,BAFI2016,UO Introduction to Financial Planning
Bachelor of Business (Financial Planning),Core courses,BAFI3008,UO Applied Financial Planning
Bachelor of Business (Financial Planning),Core courses,BAFI3009,UO Estate Planning
Bachelor of Business (Financial Planning),Core courses,BAFI3010,UO Portfolio and Fund Management
Bachelor of Business (Financial Planning),Core courses,BAFI3011,UO Risk Management and Insurance
Bachelor of Business (Financial Planning),Core courses,BAFI3012,UO Superannuation
Bachelor of Business (Financial Planning),Core courses,BUSI1030,UO Career Development in Business
Bachelor of Business (Financial Planning),Core courses,BUSI2019,UO Management and Organisation
Bachelor of Business (Financial Planning),Core courses,BUSI2021,UO Entrepreneurship for Social and Market Impact
Bachelor of Business (Financial Planning),Core courses,ECON1010,UO Principles of Economics
Bachelor of Business (Financial Planning),Core courses,ECON1011,UO Macroeconomics
Bachelor of Business (Financial Planning),Core courses,IBUS3008,UO International Business Environments
Bachelor of Business (Financial Planning),Core courses,INFO2022,UO Business Intelligence
Bachelor of Business (Financial Planning),Core courses,LAWS1018,UO Business Law
Bachelor of Business (Financial Planning),Core courses,LAWS2012,UO Companies and Partnership Law
Bachelor of Business (Financial Planning),Core courses,LAWS3007,UO Taxation Law 1
Bachelor of Business (Financial Planning),Core courses,MARK1013,UO Marketing Principles: Trading and Exchange
Bachelor of Business (Financial Planning),Core courses,MATH1028,UO Quantitative Methods for Business
Bachelor of Business (Financial Planning),Core selective courses,BUSI3033,UO Strategic Management
Bachelor of Business (Financial Planning),Core selective courses,BUSI3034,UO Strategic Financial Analysis
Bachelor of Business (Financial Planning),Standard study plans,SOCI3014,UO Critical Approaches to Online Learning
Bachelor of Business (Financial Planning),Standard study plans,ACCT1005,UO Accounting for Business
Bachelor of Business (Financial Planning),Standard study plans,BAFI1004,UO Personal Finance
Bachelor of Business (Financial Planning),Standard study plans,MATH1028,UO Quantitative Methods for Business
Bachelor of Business (Financial Planning),Standard study plans,ECON1010,UO Principles of Economics
Bachelor of Business (Financial Planning),Standard study plans,LAWS1018,UO Business Law
Bachelor of Business (Financial Planning),Standard study plans,BUSI1030,UO Career Development in Business
Bachelor of Business (Financial Planning),Standard study plans,BUSI1018,UO Business and Society
Bachelor of Business (Financial Planning),Standard study plans,BAFI1003,UO Financial Markets and Institutions
Bachelor of Business (Financial Planning),Standard study plans,BAFI2016,UO Introduction to Financial Planning
Bachelor of Business (Financial Planning),Standard study plans,BUSI2019,UO Management and Organisation
Bachelor of Business (Financial Planning),Standard study plans,MARK1013,UO Marketing Principles: Trading and Exchange
Bachelor of Business (Financial Planning),Standard study plans,ECON1011,UO Macroeconomics
Bachelor of Business (Financial Planning),Standard study plans,IBUS3008,UO International Business Environments
Bachelor of Business (Financial Planning),Standard study plans,INFO2022,UO Business Intelligence
Bachelor of Business (Financial Planning),Standard study plans,LAWS2012,UO Companies and Partnership Law
Bachelor of Business (Financial Planning),Standard study plans,BAFI3010,UO Portfolio and Fund Management
Bachelor of Business (Financial Planning),Standard study plans,BAFI3012,UO Superannuation
Bachelor of Business (Financial Planning),Standard study plans,BUSI2021,UO Entrepreneurship for Social and Market Impact
