degree_name,course_code,course_name,stream_clean
Bachelor of Commerce majoring in Accounting,ECON1000,Principles of Economics,Program Core
Bachelor of Commerce majoring in Accounting,ARTI3000,Business Applications for Artificial Intelligence,Program Core
Bachelor of Commerce majoring in Banking and Finance,ACCT1000,Accounting for Decision Makers,Program Core
Bachelor of Commerce majoring in Banking and Finance,BAFI1001,Business Finance,Program Core
Bachelor of Commerce majoring in Banking and Finance,BUSI1001,Business Law,Program Core
Bachelor of Commerce majoring in Banking and Finance,BUSI1002,"Management, Organisations and Leadership",Program Core
Bachelor of Commerce majoring in Banking and Finance,ECON1012,Data Analytics,Program Core
Bachelor of Commerce majoring in Banking and Finance,BUSI1009,Predictive and Visual Analytics for Managers and Consultants,Program Core
Bachelor of Commerce majoring in Banking and Finance,ECON1000,Principles of Economics,Program Core
Bachelor of Commerce majoring in Banking and Finance,ARTI3000,Business Applications for Artificial Intelligence,Program Core
Bachelor of Commerce majoring in Business Analytics,ACCT1000,Accounting for Decision Makers,Program Core
Bachelor of Commerce majoring in Business Analytics,BAFI1001,Business Finance,Program Core
Bachelor of Commerce majoring in Business Analytics,BUSI1001,Business Law,Program Core
Bachelor of Commerce majoring in Business Analytics,BUSI1002,"Management, Organisations and Leadership",Program Core
Bachelor of Commerce majoring in Business Analytics,ECON1012,Data Analytics,Program Core
Bachelor of Commerce majoring in Business Analytics,BUSI1009,Predictive and Visual Analytics for Managers and Consultants,Program Core
Bachelor of Commerce majoring in Business Analytics,ECON1000,Principles of Economics,Program Core
Bachelor of Commerce majoring in Business Analytics,ARTI3000,Business Applications for Artificial Intelligence,Program Core
Bachelor of Commerce majoring in Financial Planning,ACCT1000,Accounting for Decision Makers,Program Core
Bachelor of Commerce majoring in Financial Planning,BAFI1001,Business Finance,Program Core
Bachelor of Commerce majoring in Financial Planning,BUSI1001,Business Law,Program Core
Bachelor of Commerce majoring in Financial Planning,BUSI1002,"Management, Organisations and Leadership",Program Core
Bachelor of Commerce majoring in Financial Planning,ECON1012,Data Analytics,Program Core
Bachelor of Commerce majoring in Financial Planning,BUSI1009,Predictive and Visual Analytics for Managers and Consultants,Program Core
Bachelor of Commerce majoring in Financial Planning,ECON1000,Principles of Economics,Program Core
Bachelor of Commerce majoring in Financial Planning,ARTI3000,Business Applications for Artificial Intelligence,Program Core
Bachelor of Commerce majoring in Property,ACCT1000,Accounting for Decision Makers,Program Core
Bachelor of Commerce majoring in Property,BAFI1001,Business Finance,Program Core
Bachelor of Commerce majoring in Property,BUSI1001,Business Law,Program Core
Bachelor of Commerce majoring in Property,BUSI1002,"Management, Organisations and Leadership",Program Core
Bachelor of Commerce majoring in Property,ECON1012,Data Analytics,Program Core
Bachelor of Commerce majoring in Property,BUSI1009,Predictive and Visual Analytics for Managers and Consultants,Program Core
Bachelor of Commerce majoring in Property,ECON1000,Principles of Economics,Program Core
Bachelor of Commerce majoring in Property,ARTI3000,Business Applications for Artificial Intelligence,Program Core
Bachelor of Digital Business,ACCT1005,UO Accounting for Business,Core Selectives
Bachelor of Digital Business,ACCT2004,UO Management Accounting,Core Selectives
Bachelor of Digital Business,BUSI1019,UO Exploring Digital Technology in Business,Core Selectives
Bachelor of Digital Business,BUSI1020,UO Introduction to Digital Disruption in Business,Core Selectives
Bachelor of Digital Business,BUSI2014,UO Designing Digital Solutions,Core Selectives
Bachelor of Digital Business,BUSI2017,UO Organisational Behaviour,Core Selectives
Bachelor of Digital Business,BUSI2019,UO Management and Organisation,Core Selectives
Bachelor of Digital Business,BUSI2020,UO Project Management: Principles and Strategies,Core Selectives
Bachelor of Digital Business,BUSI2021,UO Entrepreneurship for Social and Market Impact,Core Selectives
Bachelor of Digital Business,BUSI2023,UO Digital Solution Methodologies,Core Selectives
Bachelor of Digital Business,BUSI3025,UO Digital Business Solutions,Core Selectives
Bachelor of Digital Business,BUSI3026,UO Digital Business Value,Core Selectives
Bachelor of Digital Business,BUSI3031,UO Managing Decision Making,Core Selectives
Bachelor of Digital Business,BUSI3033,UO Strategic Management,Core Selectives
Bachelor of Digital Business,ECON1010,UO Principles of Economics,Core Selectives
Bachelor of Digital Business,IBUS3008,UO International Business Environments,Core Selectives
Bachelor of Digital Business,INFO1020,UO Information Technology Fundamentals,Core Selectives
Bachelor of Digital Business,INFO2028,UO Cloud Platforms,Core Selectives
Bachelor of Digital Business,MARK1013,UO Marketing Principles: Trading and Exchange,Core Selectives
Bachelor of Digital Business,INFO3020,UO Risk Management and Governance,Core Selectives
Bachelor of Economics,ECON1000,Principles of Economics,Program Core
Bachelor of Economics,ECON1012,Data Analytics,Program Core
Bachelor of Economics,ECON2000,Intermediate Macroeconomics,Program Core
Bachelor of Economics,ECON2001,Global Economic History,Program Core
Bachelor of Economics (Honours),ECON1000,Principles of Economics,Program Core
Bachelor of Economics (Honours),ECON1003,Mathematical Economics,Program Core
Bachelor of Economics (Honours),ECON1012,Data Analytics,Program Core
Bachelor of Economics (Honours),ECON2000,Intermediate Macroeconomics,Program Core
Bachelor of Economics (Honours),ECON2001,Global Economic History,Program Core
Bachelor of Economics (Honours),ECON2005,Intermediate Microeconomics,Program Core
Bachelor of Economics (Honours),ECON2006,Intermediate Econometrics,Program Core
Bachelor of Economics (Honours),ECON3006,Econometrics,Program Core
Bachelor of Economics (Honours),ECON3801,Economic Analysis,Program Core
Bachelor of Economics (Honours),ECON4800,Economics Research Thesis,Program Core
Bachelor of Economics (Honours),ECONX402,Macroeconomic Theory,Program Core
Bachelor of Economics (Honours),ECONX401,Econometric Theory,Program Core
Bachelor of Economics (Honours),ECONX403,Microeconomic Theory,Program Core
Bachelor of Economics majoring in Advanced Analysis,ECON1000,Principles of Economics,Program Core
Bachelor of Economics majoring in Advanced Analysis,ECON1012,Data Analytics,Program Core
Bachelor of Economics majoring in Advanced Analysis,ECON2000,Intermediate Macroeconomics,Program Core
Bachelor of Economics majoring in Advanced Analysis,ECON2001,Global Economic History,Program Core
Bachelor of International Business,ACCT1004,OL Introductory Accounting,Program Core
Bachelor of International Business,BUSI1039,Business Lifecycles,Program Core
Bachelor of International Business,BUSI1040,OL Managing Organisations and People,Program Core
Bachelor of International Business,BUSI2024,OL Business Operations Management,Program Core
Bachelor of International Business,BUSI2025,OL Business Information Systems and Management,Program Core
Bachelor of International Business,BUSI2052,OL Personal Professional Development,Program Core
Bachelor of International Business,BUSI2053,OL Entrepreneurship Foundations and Mindset,Program Core
Bachelor of International Business,BUSI3042,OL Strategic Management (UoA),Program Core
Bachelor of International Business,BUSI3043,Managing Conflict and Change,Program Core
Bachelor of International Business,BUSI3044,OL Systems Thinking for a Complex World,Program Core
Bachelor of International Business,HRES3006,Human Resources Management,Program Core
Bachelor of International Business,IBUS1001,OL International Business Environment (UoA),Program Core
Bachelor of International Business,IBUS2006,OL International Business Operations (UoA),Program Core
Bachelor of International Business,IBUS3007,OL Internationalisation of Small and Medium-sized Enterprises (UoA),Program Core
Bachelor of International Business,IBUS3009,OL Managing Across Cultures (UoA),Program Core
Bachelor of International Business,IBUS3010,OL Corporate Responsibility for Global Business,Program Core
